,latitude,longitude,sido,gu,dong
0,37.53218639,127.0851835,서울특별시,광진구,자양2동
1,37.57794463,127.0474547,서울특별시,동대문구,전농1동
2,37.510494,127.0810039,서울특별시,송파구,잠실본동
3,37.56519246,126.8984731,서울특별시,마포구,성산2동
4,37.46781499,126.9321732,서울특별시,관악구,대학동
5,37.53224689,127.1248311,서울특별시,강동구,성내2동
6,37.49559417,127.0149529,서울특별시,서초구,서초4동
7,37.47129593,126.9653841,서울특별시,관악구,인헌동
8,37.5441727,126.8707269,서울특별시,양천구,목2동
9,37.55758718,126.986733,서울특별시,중구,명동
10,37.50389105,127.0977176,서울특별시,송파구,석촌동
11,37.5370729,127.0145485,서울특별시,용산구,한남동
12,37.65670544,127.0138727,서울특별시,도봉구,쌍문1동
13,37.51532847,127.0202454,서울특별시,강남구,논현1동
14,37.48579056,126.9817387,서울특별시,동작구,사당2동
15,37.49924809,126.9985024,서울특별시,서초구,반포4동
16,37.50562111,127.0871069,서울특별시,송파구,잠실본동
17,37.61321184,126.9532206,서울특별시,종로구,평창동
18,37.46261306,126.9044861,서울특별시,금천구,시흥4동
19,37.54100845,127.1277983,서울특별시,강동구,천호2동
20,37.58461208,127.0809513,서울특별시,중랑구,면목5동
21,37.56870004,127.0034159,서울특별시,중구,을지로동
22,37.56691622,127.0532625,서울특별시,동대문구,답십리1동
23,37.48543629,126.9321191,서울특별시,관악구,신림동
24,37.60684466,127.0458635,서울특별시,성북구,월곡2동
25,37.58048641,127.0474507,서울특별시,동대문구,전농1동
26,37.50022185,126.8621245,서울특별시,구로구,고척1동
27,37.64311294,127.1082578,서울특별시,노원구,공릉2동
28,37.62381156,126.9210958,서울특별시,은평구,불광2동
29,37.55808204,126.9783059,서울특별시,중구,회현동
30,37.59129938,127.0807552,서울특별시,중랑구,면목2동
31,37.49049847,126.8933488,서울특별시,구로구,구로3동
32,37.61364659,127.0473744,서울특별시,성북구,장위1동
33,37.49615052,126.9315176,서울특별시,동작구,상도3동
34,37.58051472,127.0820162,서울특별시,중랑구,면목5동
35,37.56344874,127.0810472,서울특별시,광진구,중곡1동
36,37.4927318,127.1484454,서울특별시,송파구,거여2동
37,37.52301489,127.021939,서울특별시,강남구,신사동
38,37.65037219,127.0804347,서울특별시,노원구,중계본동
39,37.5766003,127.0309511,서울특별시,동대문구,용신동
40,37.60416798,127.0749844,서울특별시,중랑구,중화2동
41,37.52132566,126.9041556,서울특별시,영등포구,영등포동
42,37.61165306,127.008671,서울특별시,성북구,정릉4동
43,37.57921812,127.0365067,서울특별시,동대문구,제기동
44,37.49666845,127.0287251,서울특별시,강남구,역삼1동
45,37.50073126,127.0258938,서울특별시,서초구,서초4동
46,37.55570277,126.9371566,서울특별시,서대문구,신촌동
47,37.51285336,126.9373201,서울특별시,동작구,노량진2동
48,37.58736449,127.0974387,서울특별시,중랑구,면목3.8동
49,37.53645742,127.0550855,서울특별시,성동구,성수2가1동
50,37.484558,126.8880015,서울특별시,구로구,가리봉동
51,37.56551231,127.0808997,서울특별시,광진구,중곡3동
52,37.47436894,126.9814217,서울특별시,관악구,남현동
53,37.57084972,126.8978501,서울특별시,마포구,성산2동
54,37.59802035,127.0601001,서울특별시,동대문구,이문1동
55,37.63324608,127.0255405,서울특별시,강북구,미아동
56,37.64217829,127.0532316,서울특별시,도봉구,창4동
57,37.51240369,126.9207467,서울특별시,영등포구,신길1동
58,37.55824788,127.0129054,서울특별시,중구,청구동
59,37.57152448,127.0306432,서울특별시,동대문구,용신동
60,37.50229066,127.0259065,서울특별시,강남구,역삼1동
61,37.60135588,127.0750117,서울특별시,중랑구,중화2동
62,37.51380905,126.9132903,서울특별시,영등포구,영등포본동
63,37.48800579,127.0736526,서울특별시,강남구,개포2동
64,37.55146593,126.9093725,서울특별시,마포구,합정동
65,37.61985001,126.9201407,서울특별시,은평구,갈현1동
66,37.52999355,127.1363754,서울특별시,강동구,성내3동
67,37.5364247,127.078097,서울특별시,광진구,자양1동
68,37.57210211,126.9812884,서울특별시,종로구,종로1.2.3.4가동
69,37.48741495,127.1032808,서울특별시,강남구,수서동
70,37.48397282,126.9543787,서울특별시,관악구,중앙동
71,37.60832112,126.919981,서울특별시,은평구,역촌동
72,37.55876717,126.920354,서울특별시,마포구,연남동
73,37.60237681,127.080727,서울특별시,중랑구,중화1동
74,37.54382976,127.0645618,서울특별시,성동구,성수2가3동
75,37.61058925,126.9156693,서울특별시,은평구,구산동
76,37.56145717,126.8485139,서울특별시,강서구,등촌3동
77,37.56314091,127.1783132,서울특별시,강동구,강일동
